Total Population,Total Households,Median Household Income (Current Year $),Total Households For Period Of Construction,Total Households For Period Of Construction Built Before 1961,Total Households For Period Of Construction Built Between 1961 And 1980,Total Households For Period Of Construction Built Between 1981 And 190,Total Households For Period Of Construction Built Between 1991 And 2000,Total Households For Period Of Construction Built Between 2001 And 2005,Total Households For Structure Type Houses,"Total Households For Structure Type Apartment, Building Low And High Rise",Total Households For Structure Type Other Dwelling Types,Total Households for Tenure,Dwellings by Tenure Owner,Dwellings by Tenure Renter
3072,1233,91540.17,1233,3,25,268,682,75,985,248,0,1180,987,193
6032,1805,64473.07,1805,373,435,233,269,168,248,1557,0,1689,854,835
5748,1898,108597.38,1898,13,401,35,571,564,1804,94,0,1803,1686,117
3139,1200,47620.1,1200,599,149,69,57,50,344,841,15,1009,287,722
4951,1527,89501.81,1527,0,0,23,451,715,1521,6,0,1435,1260,175
8733,3198,78366.16,3198,451,959,314,418,192,2718,189,291,3007,2488,519
4613,1616,91044.6,1616,44,390,486,408,118,1079,533,4,1536,1235,301
5307,2207,59590.17,2207,422,535,423,370,161,1394,799,14,2160,1391,769
4642,1728,48508.47,1728,310,1077,161,101,14,580,1148,0,1574,665,909
3440,1223,86590.49,1223,380,509,65,65,109,1022,201,0,1171,1005,166
5603,1878,112604.8,1878,239,420,424,283,100,1839,36,3,1792,1711,81
6219,2213,127395.54,2213,2,21,168,375,314,2213,0,0,1931,1825,106
3350,1210,116456.95,1210,367,426,96,131,0,1026,184,0,1110,901,209
4307,1697,59547.3,1697,15,905,511,166,23,1193,504,0,1593,899,694
2823,1072,87287.84,1072,8,898,117,39,3,824,248,0,1041,708,333
1556,760,26364.62,760,282,47,67,136,25,0,760,0,685,313,372
6015,2334,81484.63,2334,3,138,121,1247,560,1621,713,0,2199,1902,297
3734,1660,17951.11,1660,134,135,73,105,149,165,1495,0,1462,134,1328
6585,3020,61377.34,3020,466,1584,444,180,117,1489,1526,5,2867,1739,1128
4145,1800,69834.72,1800,1235,360,81,26,25,1283,506,11,1686,1108,578
4141,1386,107968.91,1386,13,824,479,28,11,1326,60,0,1271,1155,116
6903,2321,120708.95,2321,428,645,473,313,183,2218,99,4,2169,1900,269
3718,1565,72749.75,1565,1046,166,19,57,74,576,978,11,1453,811,642
5336,2277,67379.97,2277,1227,615,44,55,27,1981,291,5,2136,1900,236
5205,2369,76995.78,2369,1081,967,172,77,5,1486,883,0,2250,1464,786
1715,708,45736.84,708,266,207,38,29,23,230,472,6,654,280,374
3876,1622,107727.38,1622,1164,248,63,57,24,1324,295,3,1626,1351,275
4132,1538,94941.06,1538,325,967,78,69,38,1000,538,0,1498,1114,384
3296,1141,63972.23,1141,303,175,358,265,14,400,741,0,1075,800,275
4710,1506,71869.53,1506,423,607,223,129,37,1228,278,0,1407,1228,179
4621,1386,124435.31,1386,7,7,7,950,339,1382,0,4,1322,1286,36
4975,1950,66764.82,1950,195,971,499,73,58,1213,724,13,1890,1237,653
7392,2295,78975.07,2295,83,1684,311,116,19,1423,870,2,2092,1457,635
6529,2068,78096.06,2068,111,145,160,102,101,1752,316,0,1929,1580,349
3674,1407,69906.17,1407,96,1078,138,33,46,918,489,0,1387,721,666
6431,3089,70498.64,3089,815,1265,230,397,141,1193,1891,5,3029,1678,1351
3306,974,85908.33,974,27,59,241,410,66,702,272,0,910,762,148
4733,1889,80562.52,1889,246,837,317,124,108,1556,312,21,1834,1569,265
5640,2012,47293.22,2012,621,903,141,68,203,766,1241,5,1892,1223,669
5904,2266,77409.32,2266,71,613,385,353,231,1414,852,0,2089,1347,742
7905,2716,118251.83,2716,77,269,1430,500,85,2067,649,0,2449,2141,308
4682,1516,93839.4,1516,2,238,802,349,71,1226,290,0,1414,1297,117
10469,3468,108528.2,3468,478,347,99,432,748,3397,71,0,3181,2906,275
4291,1683,78576.35,1683,24,254,677,474,158,927,756,0,1574,1342,232
4422,1454,54043.26,1454,929,383,67,13,16,1044,410,0,1357,903,454
3464,1030,78207.33,1030,14,695,260,44,0,880,150,0,982,866,116
7065,2208,109241.19,2208,11,29,161,1250,495,2113,90,5,2067,1841,226
5466,2793,42359.25,2793,131,955,539,457,228,139,2654,0,2623,352,2271
6477,2498,88926.59,2498,35,264,1319,614,97,2089,405,4,2347,1658,689
7060,1926,103530.71,1926,0,50,653,736,281,1732,194,0,1763,1614,149
4057,2192,33293.76,2192,1071,619,203,136,46,199,1983,10,2163,459,1704
6677,3088,72903.88,3088,1860,963,88,73,43,2453,635,0,3009,2249,760
47,13,94785.71,13,0,0,6,2,0,8,0,5,12,6,0
6873,2553,86154.08,2553,426,1198,158,398,103,1605,945,3,2389,1848,541
4815,1630,58147.8,1630,280,536,220,216,144,511,1119,0,1575,718,857
1997,861,87578.35,861,98,288,134,199,23,642,69,150,854,752,102
3479,1203,82362.21,1203,61,1017,72,21,3,1081,122,0,1161,910,251
6319,1945,198940.46,1945,328,647,128,149,427,1924,21,0,1775,1725,50
2213,1425,76347.34,1425,149,37,15,94,230,0,1425,0,1290,745,545
4095,1485,103238.33,1485,94,1163,143,41,20,1299,186,0,1428,1381,47
2393,1090,41849.86,1090,330,484,62,58,27,473,612,5,1060,327,733
3975,1584,58943.52,1584,202,588,309,165,121,1400,26,158,1516,1340,176
3135,1087,71436.38,1087,58,353,169,194,112,773,314,0,1031,743,288
3279,1235,51756.96,1235,201,387,133,141,97,1039,182,14,1201,1018,183
4988,2083,45422.41,2083,312,1061,260,160,149,95,1984,4,1980,568,1412
5193,1717,120294.56,1717,3,14,74,654,569,1461,253,3,1635,1395,240
5520,2395,50835.53,2395,739,924,231,154,60,1010,1385,0,2178,814,1364
3015,1575,94641.89,1575,0,0,2,47,91,7,1568,0,1265,827,438
4349,1468,118115.63,1468,138,436,619,215,9,1147,321,0,1444,1094,350
5708,2323,77873.57,2323,1082,984,73,27,11,1936,387,0,2156,1320,836
5511,3536,46204.19,3536,523,1332,457,319,111,21,3510,5,3198,717,2481
9072,3236,105824.33,3236,184,1031,466,365,313,3010,226,0,2984,2470,514
4395,1825,52408.22,1825,54,413,735,442,96,464,1361,0,1734,947,787
1981,600,120119.67,600,0,21,252,159,38,502,98,0,540,497,43
2755,1352,49374.15,1352,992,262,54,29,0,1121,231,0,1310,895,415
3208,1326,83225.85,1326,238,411,174,284,32,1143,172,11,1228,1074,154
3748,1510,77816.93,1510,210,832,322,65,23,1145,361,4,1451,1111,340
8102,2626,110166.11,2626,109,1178,109,753,131,2516,104,6,2451,2298,153
3991,1229,88269.46,1229,68,369,172,377,86,680,547,2,1154,839,315
6962,2674,91170.93,2674,181,373,666,304,282,2431,243,0,2477,2274,203
4938,1572,92408.11,1572,47,1159,262,54,10,1222,350,0,1451,1188,263
7513,3539,53684.22,3539,1599,1313,184,149,105,1608,1931,0,3438,1569,1869
3016,1316,54999.19,1316,262,553,162,88,105,749,547,20,1281,754,527
7503,3130,84624.93,3130,336,1006,719,467,173,2360,748,22,3049,2324,725
6764,2422,159296.72,2422,46,1125,660,286,79,2044,378,0,2263,1866,397
4064,1444,112351.29,1444,678,481,44,27,42,1354,90,0,1317,1173,144
3655,944,102318.89,944,20,70,284,460,44,552,392,0,869,704,165
3037,1197,76131.97,1197,190,790,149,39,9,1096,101,0,1188,934,254
7180,2540,75478.93,2540,1491,487,173,195,68,1853,676,11,2393,2019,374
2315,965,78944.27,965,680,212,18,13,0,906,59,0,907,781,126
4867,1727,47007.86,1727,252,1153,185,86,6,409,1318,0,1610,155,1455
2708,1443,40023.51,1443,920,330,106,39,10,504,924,15,1445,643,802
5108,1858,59100.17,1858,491,1155,86,46,29,803,1055,0,1749,485,1264
3830,1411,105409.45,1411,92,227,225,193,185,1233,170,8,1320,1180,140
6916,2421,88117.1,2421,0,9,15,361,1338,2133,288,0,2212,2048,164
5129,2536,43935.47,2536,1648,557,136,65,23,128,2372,36,2412,854,1558
6061,2144,99127.81,2144,141,1045,427,296,54,1603,541,0,2040,1600,440
2756,1075,84493.96,1075,612,380,41,10,9,1054,21,0,1042,951,91
4960,1913,44804.57,1913,330,489,235,460,156,162,1691,60,1815,733,1082
2985,1149,78946.56,1149,274,747,31,11,0,1088,61,0,1106,935,171
3703,1279,130731.66,1279,490,351,120,110,116,1229,42,8,1230,1020,210
5182,1699,86573.85,1699,0,11,0,300,913,1450,249,0,1595,1356,239
3840,1443,93457.24,1443,569,784,47,13,0,1262,177,4,1382,1209,173
4435,1641,88484.93,1641,751,808,18,3,0,1296,345,0,1484,1182,302
6173,2449,77788.7,2449,78,1308,781,188,15,1638,807,4,2353,1571,782
455,133,38360.94,133,0,17,21,32,20,133,0,0,126,15,3
4482,1904,85752.63,1904,294,1356,134,73,9,1413,486,5,1854,1394,460
3018,1160,79768.45,1160,65,934,116,18,0,558,602,0,1096,985,111
8583,3070,91194.75,3070,491,397,482,798,171,2857,195,18,2996,2562,434
693,478,56294.59,478,210,53,123,78,12,0,478,0,488,202,286
4058,1806,65074.18,1806,645,793,209,78,18,1193,603,10,1810,1190,620
5000,1871,98541.79,1871,2,73,180,538,441,1116,755,0,1782,1351,431
6404,1586,89870.57,1586,11,0,3,60,673,1543,40,3,1462,1341,121
1094,715,29850.72,715,0,91,226,134,26,0,715,0,640,0,640
2507,1423,39595.42,1423,806,198,159,46,45,10,1399,14,1343,297,1046
17839,5911,100755.69,5911,0,27,19,41,670,5200,711,0,5332,4459,873
2306,832,26366.68,832,389,157,78,63,19,313,515,4,744,182,562
5614,2448,46812.51,2448,282,1553,491,54,19,152,2296,0,2347,759,1588
1848,852,47616.02,852,650,90,34,35,0,555,297,0,765,502,263
6244,2200,49735,2200,298,1460,221,129,23,892,1304,4,2067,1276,791
7657,2712,91373.13,2712,21,26,76,1194,938,2293,419,0,2602,2369,233
5501,1965,56714.61,1965,199,1212,61,53,168,354,1605,6,1865,670,1195
3028,1179,89422.69,1179,275,396,248,93,53,1141,38,0,1088,1034,54
4677,2919,71335.59,2919,815,1338,306,299,71,80,2839,0,2774,870,1904
1514,655,61284.89,655,98,227,84,62,55,544,111,0,637,548,89
6248,3345,38449.04,3345,1276,589,322,443,279,444,2858,43,3197,836,2361
2731,1037,86186.38,1037,102,309,179,158,56,898,90,49,972,876,96
6945,2029,99574.54,2029,51,848,900,148,25,2029,0,0,1908,1814,94
3315,1046,91041.22,1046,321,179,84,88,114,903,137,6,971,833,138
3828,1304,73282.02,1304,58,879,287,63,10,1017,287,0,1317,1058,259
8007,2983,84093.89,2983,301,561,202,248,218,2757,218,8,2816,2581,235
7982,2683,74162.27,2683,35,486,949,872,101,2424,194,65,2450,1880,570
6636,2399,104475.1,2399,83,459,189,402,540,2351,48,0,2275,2175,100
4079,1848,58888.92,1848,969,475,194,80,17,636,1208,4,1766,985,781
6589,3178,42693.28,3178,1629,1164,184,68,26,63,3021,94,3017,655,2362
4947,2033,82961.73,2033,29,467,485,178,112,1262,771,0,1813,1042,771
6463,4137,51868.81,4137,461,954,249,228,860,0,4137,0,3457,890,2567
4014,1496,107669.83,1496,28,1320,35,8,8,1440,56,0,1442,1211,231
2603,1013,50151.84,1013,20,57,96,254,241,326,676,11,962,262,700
2879,1153,79410.01,1153,344,345,138,158,78,1135,15,3,1136,1068,68
8200,3709,73769.81,3709,242,997,971,561,266,1978,1728,3,3490,2926,564
5579,1751,120926.6,1751,0,0,22,771,767,1741,10,0,1684,1557,127
31,3,139062.5,3,0,0,2,0,1,3,0,0,8,0,0
7311,2476,119645.16,2476,11,83,725,900,552,2258,218,0,2325,2117,208
4252,1680,76779.45,1680,304,776,406,127,13,1117,554,9,1610,995,615
6799,1859,111062.66,1859,28,12,12,657,1004,1798,61,0,1696,1608,88
2092,1021,48126.58,1021,470,425,55,46,15,512,489,20,1014,554,460
5490,2261,38949.16,2261,242,1036,239,427,30,5,2256,0,2081,273,1808
7053,3542,48108.08,3542,456,999,245,735,396,1591,1951,0,3519,1602,1917
5300,2543,47745.9,2543,1172,1015,131,99,26,1814,725,4,2454,1245,1209
7129,3028,83889.98,3028,10,215,798,1147,365,2266,762,0,2900,2285,615
1811,940,51043.55,940,746,131,0,10,3,16,924,0,876,271,605
550,249,48171.17,249,0,0,6,7,28,0,249,0,219,197,22
2086,1001,52865.31,1001,385,347,124,66,19,416,571,14,995,488,507
1791,879,45882.82,879,61,449,181,111,19,196,402,281,834,416,418
6267,2310,103849.33,2310,147,689,418,412,225,2133,6,171,2191,2024,167
8168,2910,147268.04,2910,3,21,30,480,1278,2435,475,0,2708,2467,241
4753,1857,60731.07,1857,41,1148,433,121,20,1655,202,0,1725,967,758
4932,1842,61537.69,1842,443,330,268,359,97,596,1246,0,1739,1039,700
6886,3485,41009.21,3485,1913,808,317,99,78,1545,1911,29,3347,1560,1787
6288,1717,79302.44,1717,495,432,251,165,42,1625,16,76,1661,1334,327
4617,1729,89229.64,1729,62,475,449,201,148,1266,459,4,1613,1315,298
3172,1238,113953.72,1238,1143,27,10,11,10,1175,63,0,1156,1005,151
4376,1961,86149.02,1961,83,730,263,488,36,893,1063,5,1810,1347,463
3658,1370,101785.56,1370,466,388,125,125,44,1328,35,7,1322,1150,172
2645,829,105837.07,829,3,203,555,64,0,737,92,0,793,756,37
3076,1385,51329.66,1385,1064,236,47,21,3,1145,230,10,1334,922,412
5121,2257,49566.43,2257,874,853,239,209,23,1358,895,4,2210,1107,1103
3211,1467,59284.88,1467,116,919,211,78,51,513,954,0,1359,797,562
3077,1656,35990.46,1656,835,674,61,59,7,169,1487,0,1587,194,1393
5883,2600,70857.69,2600,576,1453,290,137,40,2158,430,12,2531,2026,505
4490,1465,115332.52,1465,9,126,852,390,20,1443,22,0,1351,1150,201
6872,2325,185925.26,2325,0,12,33,30,680,1451,29,845,2114,1816,298
7940,2660,109231.97,2660,525,779,320,347,195,2604,56,0,2534,2326,208
6663,2285,118865.18,2285,0,9,21,79,513,1987,298,0,2109,1722,387
5743,2256,43934.85,2256,914,846,235,121,66,234,2017,5,2193,637,1556
1805,848,48233.55,848,251,304,124,79,26,421,427,0,801,420,381
5083,1656,128832.36,1656,0,14,353,241,144,1627,29,0,1489,1482,7
10578,2923,132409.02,2923,148,121,57,74,158,2640,283,0,2636,2137,499
4510,2113,70264.8,2113,1515,352,78,22,28,1002,1102,9,2009,1027,982
4504,1982,71409.71,1982,348,912,365,181,14,1295,687,0,1885,1167,718
8062,2643,108335.9,2643,399,571,467,57,15,2391,247,5,2373,2084,289
1921,707,97853,707,27,433,121,100,9,641,61,5,718,709,9
2853,1555,89833.36,1555,664,305,147,165,35,270,1285,0,1448,864,584
7593,2159,97326.57,2159,6,0,42,1645,295,2121,38,0,2006,1875,131
1168,452,74818.3,452,36,172,45,60,54,389,5,58,449,408,41
8602,2692,111744.6,2692,332,125,30,307,737,2565,122,5,2546,2398,148
5441,2028,51113.8,2028,722,1059,155,58,1,788,1240,0,1953,996,957
4625,2041,105395.14,2041,1329,295,46,53,24,779,1253,9,1874,875,999
5072,1719,120059.5,1719,32,180,914,407,122,1693,26,0,1621,1575,46
4049,1450,81204.35,1450,421,467,231,142,87,1425,16,9,1355,1185,170
3394,1490,53203.07,1490,1171,229,23,39,0,1308,177,5,1401,1120,281
2062,1059,44872.42,1059,488,224,107,152,27,43,1001,15,993,272,721
5459,2461,43865.19,2461,1312,602,190,72,16,990,1461,10,2307,1094,1213
8512,3291,78833.34,3291,489,1115,377,280,167,1410,1878,3,3018,1920,1098
4898,1805,90288.47,1805,54,495,911,239,45,1501,299,5,1692,1323,369
6354,2923,59881.35,2923,1060,899,390,321,36,1477,1441,5,2925,1711,1214
2622,1041,87680.33,1041,965,46,10,3,0,276,760,5,1018,664,354
4048,2242,43411.92,2242,1136,358,120,302,107,38,2199,5,2083,754,1329
4399,2376,44448.7,2376,1403,600,194,56,26,143,2223,10,2280,633,1647
6002,2896,25364.87,2896,1147,996,305,223,110,1004,1888,4,2750,568,2182
6227,2811,63770.79,2811,143,623,486,432,358,1885,912,14,2668,1915,753
1258,454,84425.51,454,43,255,51,27,12,375,75,4,420,325,95
4480,1722,77330.9,1722,235,736,141,203,146,1488,223,11,1620,1325,295
4583,2331,82200.79,2331,1411,660,150,77,2,1258,1068,5,2278,1303,975
4178,1735,56629.38,1735,179,1139,291,101,6,1134,601,0,1686,1050,636
5480,2442,48417.14,2442,753,663,361,263,140,1290,1147,5,2353,1219,1134
5695,1662,171432.79,1662,0,0,25,496,696,1657,5,0,1590,1562,28
4579,1841,82994.24,1841,1492,204,36,46,10,1495,342,4,1726,1273,453
4889,1976,87066.63,1976,101,1370,266,166,2,1732,244,0,1951,1570,381
5878,2431,58986,2431,104,1085,494,596,49,1127,1299,5,2354,1169,1185
4099,1585,90240.73,1585,1432,126,6,6,2,1242,340,3,1522,1266,256
6006,2744,54798.17,2744,1810,475,142,69,9,2293,447,4,2559,1818,741
7551,2796,117753.49,2796,562,572,247,497,364,2678,44,74,2705,2510,195
3901,1789,73171.43,1789,958,551,155,74,19,1241,543,5,1770,1270,500
6146,1833,108728.23,1833,0,10,10,475,933,1712,121,0,1736,1536,200
4012,1417,135322.77,1417,540,400,154,92,72,1194,223,0,1358,1166,192
6436,2214,127675.86,2214,97,144,567,1059,183,2159,51,4,2111,1978,133
4546,2277,78718.51,2277,986,204,25,270,311,1260,1017,0,2060,1217,843
6571,2426,73063.82,2426,54,229,240,566,310,2083,224,119,2319,1977,342
7219,2646,79863.98,2646,8,1249,736,267,150,2085,561,0,2451,1700,751
4916,2353,49085.51,2353,100,789,564,598,78,992,1360,1,2225,1252,973
6110,1757,112390.24,1757,0,52,803,670,160,1694,63,0,1614,1509,105
6059,1747,92100.6,1747,165,270,497,444,102,1428,319,0,1626,1440,186
2801,1272,55918.56,1272,84,854,192,83,26,694,578,0,1258,666,592
2092,986,47849.13,986,355,491,53,48,14,438,548,0,974,365,609
5626,2417,37061.05,2417,198,1405,484,261,14,1204,1213,0,2338,677,1661
1980,782,90862.03,782,373,116,74,59,18,381,391,10,709,372,337
4877,2000,79438.94,2000,361,1035,182,181,70,1721,271,8,1969,1659,310
1822,662,108838.73,662,213,148,96,112,50,655,5,2,643,611,32
4297,2135,55576.62,2135,1389,512,113,35,15,1025,1091,19,2105,886,1219
10433,3811,88439.02,3811,8,9,24,513,532,2795,1016,0,3406,2759,647
5580,2059,59377.1,2059,107,887,873,113,20,1203,852,4,1982,1281,701
5479,2283,82433.96,2283,39,325,937,563,215,1895,384,4,2172,1891,281
7711,3153,83006.54,3153,10,14,75,865,999,1538,1615,0,2884,2246,638
6110,2681,57320.07,2681,801,857,363,277,101,2509,60,112,2604,2289,315
3523,1225,84742.94,1225,9,53,78,290,401,1219,6,0,1080,960,120
1903,1118,41869.98,1118,709,193,84,27,7,259,854,5,1095,368,727
5136,1767,79180.44,1767,95,579,232,387,109,1277,488,2,1644,1282,362
4459,2492,32840.03,2492,1071,544,228,186,115,444,2040,8,2318,455,1863
9217,2814,131224.2,2814,8,7,0,281,1745,2569,245,0,2671,2463,208
4871,1828,63960.8,1828,401,1294,88,23,0,1006,822,0,1763,1516,247
4476,1920,89179.62,1920,56,1302,428,94,14,1112,808,0,1848,1086,762
2657,967,55944.36,967,89,525,243,58,22,615,352,0,960,645,315
3558,1587,84409.96,1587,112,326,401,210,211,1098,475,14,1518,1156,362
1876,876,55585.08,876,382,277,38,39,33,435,428,13,808,444,364
6078,2267,92322.65,2267,335,933,118,82,273,1805,458,4,2091,1372,719
610,166,42139.56,166,11,61,48,22,3,73,84,9,160,66,15
1637,839,56213.98,839,46,121,169,26,254,82,757,0,786,560,226
179,128,42726.68,128,40,61,26,0,0,10,98,20,134,0,134
5613,2324,29331.9,2324,34,40,90,405,123,183,2141,0,2128,980,1148
2767,1085,66581.33,1085,285,408,148,90,58,926,147,12,1026,823,203
2962,1886,39102.21,1886,260,789,244,170,83,245,1556,85,1722,359,1363
5428,2534,58028.27,2534,1442,899,76,51,9,1839,695,0,2400,1666,734
4585,1746,92231.66,1746,192,1428,36,69,13,1656,90,0,1696,1428,268
5748,2073,93095.56,2073,211,326,315,404,236,1988,75,10,1960,1829,131
5114,1617,80560.73,1617,8,88,508,792,99,1109,190,318,1503,1341,162
5681,3433,54264.47,3433,277,1703,575,494,65,35,3393,5,3255,1183,2072
7617,2834,89433.61,2834,7,67,1008,819,350,2180,654,0,2763,2439,324
4163,1777,62606.33,1777,527,594,246,145,87,1290,482,5,1723,1100,623
4535,2246,16000.93,2246,423,484,360,468,122,27,2209,10,2089,180,1909
3698,1628,57095.25,1628,1262,309,28,7,0,540,1075,13,1560,665,895
3755,1992,51869.78,1992,1212,586,97,45,15,842,1136,14,1946,828,1118
148,50,223360.67,50,9,14,13,9,0,32,0,18,44,44,0
1091,485,47596,485,354,81,23,0,9,387,94,4,475,272,203
686,419,38886.35,419,121,57,30,111,14,13,334,72,353,57,296
492,294,39010.23,294,48,59,162,24,0,0,289,5,304,85,219
3346,1211,105372.49,1211,17,1045,93,23,0,1173,38,0,1168,959,209
4737,2091,105818.89,2091,104,1206,105,329,181,1609,482,0,2020,1397,623
7930,2457,120681.37,2457,713,673,253,334,111,2386,59,12,2249,2065,184
7933,2843,90708.71,2843,577,774,355,409,237,2125,718,0,2692,2282,410
2794,1195,79425.03,1195,25,970,107,66,9,874,321,0,1163,926,237
7540,2566,100299.52,2566,53,55,66,826,844,2252,314,0,2444,1864,580
4056,1700,87987.58,1700,149,711,462,155,43,956,157,587,1595,1322,273
4838,2078,87174.39,2078,205,1635,97,39,0,1713,365,0,1959,1467,492
6009,1657,88563.9,1657,10,0,0,348,729,1641,16,0,1508,1426,82
5753,2284,77453.88,2284,173,1180,569,141,50,1592,682,10,2225,1725,500
1963,996,29309.39,996,262,505,81,36,36,80,911,5,950,123,827
2375,1307,41223.26,1307,821,236,91,18,17,0,1307,0,1218,284,934
3735,1933,47428.13,1933,1036,432,168,152,55,599,1324,10,1874,621,1253
5185,1732,113674.91,1732,605,625,70,106,23,1557,173,2,1640,1372,268
5592,2580,70000,2580,1440,647,303,75,23,1795,785,0,2441,1540,901
514,296,80000,296,0,0,0,9,14,0,291,5,227,201,26
2158,916,88163.5,916,16,18,0,22,68,247,669,0,848,681,167
3237,1406,80232.65,1406,423,670,231,74,0,1153,248,5,1343,991,352
3952,1193,72257.91,1193,86,641,251,66,61,898,295,0,1106,835,271
4566,1729,92762.65,1729,758,521,119,87,3,1302,422,5,1642,1338,304
6131,3083,52079.96,3083,67,520,549,691,406,588,2480,15,2910,1895,1015
133,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3974,1320,85321.04,1320,19,541,440,224,32,1138,182,0,1233,846,387
2365,1115,71710.64,1115,685,271,66,50,9,810,300,5,1080,720,360
3611,1157,111256.2,1157,9,0,0,275,722,1157,0,0,1065,972,93
8216,3307,60678.25,3307,348,1050,429,609,220,1491,1816,0,3087,2031,1056
4612,2582,44740.86,2582,697,1186,214,241,33,289,2293,0,2430,700,1730
5453,1834,111288.55,1834,50,79,228,419,646,1574,16,244,1715,1647,68
4400,2109,46733.84,2109,1098,552,241,91,25,1341,763,5,1908,1041,867
6966,2276,108636.49,2276,148,511,724,484,175,2125,151,0,2183,2016,167
979,414,53859.69,414,155,134,51,51,3,390,9,15,402,333,69
10137,3723,79124.88,3723,367,866,675,450,251,2827,889,7,3545,3011,534
8467,4063,68883.27,4063,217,1521,1271,303,321,948,3115,0,3844,2057,1787
2363,830,71272.02,830,45,675,32,39,21,662,168,0,795,493,302
9903,3904,83835.97,3904,326,130,85,185,447,2243,1656,5,3554,2478,1076
3861,1174,61676.75,1174,230,262,150,164,115,283,887,4,1102,658,444
235,133,95922.51,133,0,34,24,43,3,10,0,123,136,136,0
5380,2483,72239.27,2483,740,574,234,263,108,1415,1068,0,2280,1332,948
2800,1311,53033.19,1311,1032,188,27,22,0,929,378,4,1249,769,480
7296,2691,81685.37,2691,263,602,419,650,312,2143,548,0,2645,2082,563
19591,5446,140273.39,5446,11,13,0,7,170,5318,127,1,5016,4346,670
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8482,3185,98909.42,3185,35,1186,215,77,92,3135,50,0,2829,2514,315
5361,1790,132012.72,1790,323,585,364,284,136,1754,31,5,1704,1632,72
6431,2799,69702.04,2799,784,1561,192,151,57,1690,1109,0,2760,1892,868
4815,2118,72693.15,2118,655,946,126,120,24,1292,815,11,2050,1415,635
2798,1069,103605.92,1069,12,339,562,123,0,785,284,0,1037,787,250
5838,2477,79519.57,2477,56,1128,461,476,80,1778,695,4,2373,1545,828
5605,2141,88191.33,2141,206,820,751,241,57,1745,396,0,2057,1631,426
2672,1238,56890.43,1238,673,261,83,95,33,966,272,0,1191,865,326
